,Predicted Benign,Predicted DDoS_Application,Predicted DDoS_Flooding,Predicted DDoS_Fragmentation,Predicted DoS_Flooding,Predicted Exploits_Injection,Predicted Mirai_Botnet,Predicted Recon_Spoofing
Actual Benign,192,0,0,0,0,0,0,42
Actual DDoS_Application,0,5,1,3,1,0,0,0
Actual DDoS_Flooding,0,0,7020,3,8,0,0,3
Actual DDoS_Fragmentation,0,0,1,223,0,0,1,0
Actual DoS_Flooding,0,2,2,3,1724,0,1,1
Actual Exploits_Injection,3,0,0,0,0,0,0,5
Actual Mirai_Botnet,1,0,0,0,2,0,568,0
Actual Recon_Spoofing,35,0,2,0,2,0,2,144
