Metric,Value
Training Accuracy,0.9931666666666666
Validation Accuracy,0.992
Test Accuracy,0.9919
Training Loss,0.015888277041922597
Validation Loss,0.022811879354855312
Test Loss,0.01770343989928155
Test Precision,0.9952950802904776
Test Recall,0.9964161376203153
Test F1 Score,0.9958552934554572
Test AUC-ROC,0.997840055591438
Training Time (seconds),192.47833156585693
