Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss
1,0.9818999767303467,0.9879999756813049,0.038487743586301804,0.024683132767677307
2,0.9853333234786987,0.9883999824523926,0.028368903324007988,0.02548908069729805
3,0.9874333143234253,0.9887999892234802,0.025637172162532806,0.025973519310355186
4,0.9881333112716675,0.9872999787330627,0.026033524423837662,0.024132709950208664
5,0.9872000217437744,0.9765999913215637,0.02645632065832615,0.02807430736720562
6,0.9883999824523926,0.9894000291824341,0.024655846878886223,0.023033099249005318
7,0.9887999892234802,0.9873999953269958,0.02473555877804756,0.03366236388683319
8,0.9883999824523926,0.9890999794006348,0.025754213333129883,0.02355593629181385
9,0.9888333082199097,0.9886999726295471,0.023810749873518944,0.024174103513360023
10,0.9883666634559631,0.9879000186920166,0.0243071261793375,0.023830292746424675
11,0.9895666837692261,0.9868000149726868,0.02237839624285698,0.028494521975517273
12,0.9901333451271057,0.9909999966621399,0.021713748574256897,0.028152570128440857
13,0.9904000163078308,0.9904000163078308,0.021213384345173836,0.022985832765698433
14,0.9912333488464355,0.9912999868392944,0.0202566459774971,0.025772057473659515
15,0.991100013256073,0.9912999868392944,0.02176605723798275,0.02673237957060337
16,0.9916999936103821,0.9918000102043152,0.01966235227882862,0.024677500128746033
17,0.9919000267982483,0.9919999837875366,0.019762350246310234,0.022811876609921455
18,0.9922666549682617,0.9909999966621399,0.01833372935652733,0.026321353390812874
19,0.9923333525657654,0.991100013256073,0.018219588324427605,0.02848607860505581
20,0.9924666881561279,0.992900013923645,0.01810743473470211,0.024512868374586105
21,0.9922666549682617,0.9912999868392944,0.017635028809309006,0.028166260570287704
22,0.9918000102043152,0.9908000230789185,0.01858876831829548,0.026988811790943146
23,0.9919333457946777,0.9909999966621399,0.018816489726305008,0.024880826473236084
24,0.9923333525657654,0.9908999800682068,0.01822352409362793,0.027404876425862312
25,0.9920666813850403,0.991599977016449,0.019148243591189384,0.026381555944681168
26,0.9925333261489868,0.9908000230789185,0.019191361963748932,0.026972323656082153
27,0.9918333292007446,0.9915000200271606,0.019084308296442032,0.024773139506578445
