Metric,Value
Training Accuracy,0.9953333333333333
Validation Accuracy,0.9927
Test Accuracy,0.9934
Training Loss,0.011804630471170776
Validation Loss,0.016477899444458797
Test Loss,0.014867076691935452
Test Precision,0.996417604912999
Test Recall,0.9968257218922794
Test F1 Score,0.9966216216216216
Test AUC-ROC,0.9985533273471017
Training Time (seconds),70.43413400650024
