Iteration,Validation_Loss
1,1.1974153879880904
2,1.0460968705534934
3,0.9208575523138046
4,0.8153860094308854
5,0.7252968670904636
6,0.6472783638060093
7,0.5792837950110435
8,0.519757344186306
9,0.46752043713629243
10,0.4212754986464977
11,0.3801319359064102
12,0.343792297783494
13,0.31128155783712863
14,0.28224291982650757
15,0.2563271307080984
16,0.23311318654567004
17,0.21228326691389085
18,0.19355196744203568
19,0.1766843037366867
20,0.1615455212801695
21,0.14791227971464396
22,0.13565389423072338
23,0.12460753303617239
24,0.11473133909404278
25,0.10569228518679738
26,0.09754458916261792
27,0.09024696554988623
28,0.08361737904623151
29,0.077562310885638
30,0.0721691470913589
31,0.06727561520710587
32,0.06282186314724386
33,0.05887708859555423
34,0.05518650494664908
35,0.05193293798658997
36,0.04895383814293891
37,0.04629602935034782
38,0.04379823477864266
39,0.04157284323181957
40,0.03955423776246608
41,0.03778370965402574
42,0.03611366451578215
43,0.03460003958651796
44,0.03323788652587682
45,0.03203278937833384
46,0.03088518256414682
47,0.02988305734377355
48,0.02894203547304496
49,0.02810882251318544
50,0.02729992355993018
51,0.02654483553157188
52,0.02593484850330278
53,0.02537734940382652
54,0.02483140085441992
55,0.02437033305699006
56,0.02397235631330404
57,0.02366970850296784
58,0.02332422853596508
59,0.02301476484593004
60,0.02276314202207141
61,0.02249067811223213
62,0.02229250212898478
63,0.02208538304523099
64,0.02191761998581933
65,0.02174170725730946
66,0.02157040313601028
67,0.02139827765626833
68,0.02124916319890181
69,0.02112475412967615
70,0.02097569292534609
71,0.0208739974837692
72,0.02081908919423586
73,0.02072108716926887
74,0.02062556617854861
75,0.02053798208749504
76,0.02046145807059947
77,0.02041684827889548
78,0.02037446677598637
79,0.02032258191700093
80,0.02028427049511811
81,0.02026400954460842
82,0.02023714220689435
83,0.02022737454184971
84,0.02016083409250714
85,0.02013016127841401
86,0.02008227940643846
87,0.020065830480757
88,0.02003756480173761
89,0.02002485794495442
90,0.02000715271435911
91,0.02002772657879977
92,0.01995843727003375
93,0.0199931931039464
94,0.0199899637608105
95,0.01999598773216858
96,0.01995972722103834
97,0.01996895564160732
98,0.01992191957135146
99,0.01994147340570635
100,0.0199349037663138
