,precision,recall,f1-score,support
0,0.8095238095238095,0.8717948717948718,0.8395061728395061,234.0
1,0.999791013584117,0.9995821145006268,0.9996865531292446,9572.0
2,0.0,0.0,0.0,9.0
3,0.7584269662921348,0.7297297297297297,0.743801652892562,185.0
accuracy,0.9907,0.9907,0.9907,0.9907
macro avg,0.6419354473500154,0.6502766790063071,0.6457485947153281,10000.0
weighted avg,0.9899737142219784,0.9907,0.9903047436782697,10000.0
