Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss
1,0.9738666415214539,0.98580002784729,0.09216240048408508,0.03275122866034508
2,0.9853000044822693,0.9889000058174133,0.03479820862412453,0.02687259204685688
3,0.9879999756813049,0.9904999732971191,0.028765609487891197,0.024251120164990425
4,0.9886333346366882,0.991100013256073,0.02801496535539627,0.023022929206490517
5,0.9901333451271057,0.9908999800682068,0.025012265890836716,0.02341764234006405
6,0.9906333088874817,0.9922000169754028,0.023388762027025223,0.021692173555493355
7,0.991433322429657,0.9919000267982483,0.02228464186191559,0.02163180522620678
8,0.9918000102043152,0.9905999898910522,0.022230790928006172,0.02646949142217636
9,0.9914666414260864,0.9925000071525574,0.021623903885483742,0.02152838744223118
10,0.9921333193778992,0.9922999739646912,0.020392993465065956,0.02110559307038784
11,0.9927999973297119,0.9923999905586243,0.01981763355433941,0.020966360345482826
12,0.9921666383743286,0.9922999739646912,0.019908763468265533,0.02072524093091488
13,0.9925333261489868,0.9927999973297119,0.019314737990498543,0.022069115191698074
14,0.9925333261489868,0.9922999739646912,0.01905687525868416,0.021709514781832695
15,0.9928666949272156,0.9923999905586243,0.01863934099674225,0.02165059745311737
16,0.9930999875068665,0.9925000071525574,0.018326429650187492,0.023519761860370636
17,0.992900013923645,0.9922999739646912,0.018666453659534454,0.02152094803750515
18,0.9932666420936584,0.9925000071525574,0.017829302698373795,0.02269282191991806
19,0.9931333065032959,0.9922000169754028,0.017708957195281982,0.02108953706920147
20,0.9932000041007996,0.9926000237464905,0.017666775733232498,0.020979832857847214
21,0.9937666654586792,0.9921000003814697,0.01722978986799717,0.02209840714931488
22,0.993399977684021,0.9926999807357788,0.016713209450244904,0.023133298382163048
