,Predicted Benign,Predicted DoS_DDoS,Predicted Exploits_WebAttacks_Malware,Predicted Recon_Spoofing_MITM
Actual Benign,191,0,5,38
Actual DoS_DDoS,1,9552,0,19
Actual Exploits_WebAttacks_Malware,2,0,0,7
Actual Recon_Spoofing_MITM,49,0,2,134
