Feature,Importance
rst_count,0.018820000000000014
urg_count,0.013309999999999999
Rate,0.011690000000000034
Srate,0.011690000000000034
Variance,0.01001000000000003
Covariance,0.0068600000000000215
flow_duration,0.004840000000000022
Header_Length,0.0025200000000000335
Duration,0.001990000000000014
IAT,0.0015400000000000192
Weight,0.0015200000000000103
Number,0.0015100000000000113
HTTPS,0.0012300000000000089
Radius,0.0007300000000000306
fin_count,0.0006500000000000284
Std,0.0005900000000000349
HTTP,0.0005000000000000449
syn_flag_number,0.00047000000000002595
Tot sum,0.00039000000000001257
Tot size,0.0002800000000000247
TCP,0.00022000000000002017
DNS,0.00018999999999997909
rst_flag_number,0.00011999999999999789
ICMP,0.00010999999999998789
Min,8.00000000000023e-05
psh_flag_number,5.00000000000278e-05
UDP,4.999999999999449e-05
fin_flag_number,1.9999999999997796e-05
IPv,0.0
LLC,0.0
ARP,0.0
SSH,0.0
Protocol Type,-8.999999999999009e-05
syn_count,-0.00014999999999996128
ack_count,-0.00016999999999998128
ack_flag_number,-0.00040999999999996595
Magnitue,-0.0007199999999999984
