Metric,Value
Training Accuracy,0.9976
Validation Accuracy,0.9906
Test Accuracy,0.9877
Training Loss,0.0112586099112958
Validation Loss,0.023689786260908015
Test Loss,0.027831362327188806
Test Precision (weighted),0.9881127946127944
Test Recall (weighted),0.9877
Test F1 Score (weighted),0.9878837465479865
Training Time (seconds),15.893954753875732
