Train_Size,Train_Mean_Accuracy,Train_Std_Accuracy,Val_Mean_Accuracy,Val_Std_Accuracy
2400,0.9941666666666666,0.0016666666666667052,0.9807666666666666,0.0011479450238481722
4800,0.9881249999999999,0.002916666666666679,0.9788,0.002124983660067888
7200,0.9850555555555556,0.002279809392075899,0.9776000000000001,0.001384838538522735
9600,0.9784583333333334,0.004007046744313193,0.9719333333333333,0.003971565602295062
12000,0.9817833333333332,0.001626687158340868,0.9763333333333334,0.0013703203194062954
14400,0.9808472222222221,0.003410676772926845,0.9764333333333333,0.002578974817851284
16800,0.9805357142857142,0.0020129259172407057,0.9764666666666667,0.0011224972160321636
19200,0.9816770833333333,0.0031506585510898432,0.9780333333333333,0.002244499449270967
21600,0.9804537037037037,0.002806853996074808,0.9771666666666668,0.0016090024514862778
24000,0.978775,0.002186066990942623,0.9757999999999999,0.001166190378969068
