accuracy,loss,val_accuracy,val_loss
0.9836999773979187,0.065151646733284,0.9890999794006348,0.02616717480123043
0.9879000186920166,0.024635953828692436,0.9904000163078308,0.024543708190321922
0.9906333088874817,0.02161114662885666,0.989300012588501,0.025539139285683632
0.991100013256073,0.020840151235461235,0.989300012588501,0.022610396146774292
0.9916999936103821,0.018727201968431473,0.991100013256073,0.024957027286291122
0.9925333261489868,0.018431486561894417,0.991100013256073,0.023006068542599678
0.9927666783332825,0.017034782096743584,0.991100013256073,0.022747565060853958
0.9927999973297119,0.016440236940979958,0.9909999966621399,0.021824216470122337
0.9932000041007996,0.0158915426582098,0.9908999800682068,0.0234182458370924
0.992733359336853,0.016103530302643776,0.9916999936103821,0.02316552773118019
0.9935666918754578,0.015291061252355576,0.9914000034332275,0.02407771721482277
0.9931333065032959,0.015398785471916199,0.991100013256073,0.026436764746904373
0.9933666586875916,0.014941781759262085,0.9919000267982483,0.02384798973798752
0.9939666390419006,0.014113778248429298,0.9922000169754028,0.024679768830537796
0.9941666722297668,0.014530238695442677,0.9916999936103821,0.025226155295968056
0.9936666488647461,0.013838511891663074,0.9926000237464905,0.02632790245115757
0.9942333102226257,0.013717478141188622,0.9919999837875366,0.026372021064162254
0.9940999746322632,0.012932159006595612,0.9919000267982483,0.024607716128230095
