,precision,recall,f1-score,support
0,0.8110236220472441,0.8803418803418803,0.8442622950819673,234.0
1,0.9971270264723989,0.9950849887364325,0.9961049610496105,9766.0
accuracy,0.9924,0.9924,0.9924,0.9924
macro avg,0.9040753242598215,0.9377134345391565,0.9201836280657889,10000.0
weighted avg,0.9927722068088503,0.9924,0.9925518426659677,10000.0
