,Predicted Benign,Predicted DDoS_Application,Predicted DDoS_Flooding,Predicted DDoS_Fragmentation,Predicted DoS_Flooding,Predicted Exploits_Injection,Predicted Mirai_Botnet,Predicted Recon_Spoofing
Actual Benign,199,0,2,1,5,0,0,27
Actual DDoS_Application,4,5,0,0,1,0,0,0
Actual DDoS_Flooding,3,0,6934,0,88,0,0,9
Actual DDoS_Fragmentation,1,0,1,223,0,0,0,0
Actual DoS_Flooding,3,1,1100,2,624,0,0,3
Actual Exploits_Injection,2,0,1,0,1,0,0,4
Actual Mirai_Botnet,1,0,3,0,0,0,564,3
Actual Recon_Spoofing,62,2,12,2,12,0,3,92
