,Predicted Benign,Predicted DoS_DDoS,Predicted Exploits_WebAttacks_Malware,Predicted Recon_Spoofing_MITM
Actual Benign,193,0,0,41
Actual DoS_DDoS,10,9545,0,17
Actual Exploits_WebAttacks_Malware,2,0,0,7
Actual Recon_Spoofing_MITM,48,0,0,137
