Train_Size,Train_Mean_Accuracy,Train_Std_Accuracy,Val_Mean_Accuracy,Val_Std_Accuracy
2400,1.0,0.0,0.9843,0.0010402991022884546
4800,0.9999583333333334,8.333333333334635e-05,0.9874333333333333,0.0008137703743822428
7200,0.9994444444444444,0.00038289024311358855,0.9885333333333334,0.0013097921802925846
9600,0.999,0.00018162078931417984,0.9894666666666667,0.0010456258094238716
12000,0.9982666666666666,0.00018559214542764697,0.9897,0.0011756794725699092
14400,0.9976805555555556,0.00033042714592696485,0.9895999999999999,0.0014552586635295565
16800,0.9976071428571428,0.00010240863413146258,0.9895666666666665,0.001443760521847171
19200,0.9973750000000001,0.00035721725415588807,0.9897666666666666,0.0013482498944104508
21600,0.997175925925926,0.00028236945707362865,0.9901333333333333,0.0013391539617733745
24000,0.9971249999999999,0.0003173238794110224,0.9903666666666666,0.0017429221949868733
