,Predicted Benign,Predicted DDoS_Application,Predicted DDoS_Flooding,Predicted DDoS_Fragmentation,Predicted DoS_Flooding,Predicted Exploits_Injection,Predicted Mirai_Botnet,Predicted Recon_Spoofing
Actual Benign,212,0,0,0,0,0,0,22
Actual DDoS_Application,0,7,3,0,0,0,0,0
Actual DDoS_Flooding,0,0,7021,1,8,0,0,4
Actual DDoS_Fragmentation,0,0,1,222,0,0,1,1
Actual DoS_Flooding,0,2,4,0,1726,0,0,1
Actual Exploits_Injection,2,0,0,0,0,0,0,6
Actual Mirai_Botnet,1,0,0,0,2,0,568,0
Actual Recon_Spoofing,50,4,1,0,3,0,0,127
