,Predicted Benign,Predicted DoS_DDoS,Predicted Exploits_WebAttacks_Malware,Predicted Recon_Spoofing_MITM
Actual Benign,186,0,0,48
Actual DoS_DDoS,0,9568,0,4
Actual Exploits_WebAttacks_Malware,0,0,0,9
Actual Recon_Spoofing_MITM,42,2,0,141
