Feature,Importance
ICMP,1.8226025098964607
TCP,1.7918200268543245
syn_flag_number,1.2778476511212251
Variance,1.1833405398388086
Radius,1.1200959345558745
Max,1.111944166571858
fin_count,1.1105929674850332
psh_flag_number,1.0599278037307558
ack_flag_number,0.9773942253400086
rst_count,0.7875619691002359
Protocol Type,0.6886774709305373
Header_Length,0.5241851221621562
syn_count,0.41520954250581255
HTTP,0.2821886601658617
Min,0.2647633636491394
flow_duration,0.25391383855974814
UDP,0.2343413302196719
Tot sum,0.212151573680191
HTTPS,0.12994635599248375
Duration,0.11676748502527984
ARP,0.10659462559746855
IAT,0.0633891929994909
Covariance,0.056041625259861026
Tot size,0.044476483627522136
LLC,0.029646421143311286
IPv,0.029646421143311286
DNS,0.005218200751476549
