Train_Size,Train_Mean_Accuracy,Train_Std_Accuracy,Val_Mean_Accuracy,Val_Std_Accuracy
2400,0.9905000000000002,0.001000000000000023,0.9866999999999999,0.0012927146286443557
4800,0.9893750000000001,0.0008333333333333305,0.9882333333333333,0.0011284207253207143
7200,0.9889166666666667,0.00048432210483784167,0.9881333333333334,0.0003711842908553258
9600,0.9890833333333333,0.00044390157818045297,0.9881666666666667,0.0005676462121975363
12000,0.9889833333333332,0.0005686240703077644,0.9881666666666666,0.0008164965809277313
14400,0.9888611111111112,0.00038689967436621826,0.9879,0.0008981462390204945
16800,0.9885952380952381,0.0005016977977549184,0.9879666666666667,0.0010456258094238553
19200,0.9884895833333334,0.00029278061088656494,0.9882333333333333,0.0012319812408384113
21600,0.988712962962963,0.00038998962386392616,0.9879333333333331,0.0010780641085864167
24000,0.9887333333333335,0.0003482097069295997,0.9883333333333333,0.0009888264649460618
