Train_Size,Train_Mean_Accuracy,Train_Std_Accuracy,Val_Mean_Accuracy,Val_Std_Accuracy
2400,0.9904166666666667,0.0016666666666666607,0.9808333333333333,0.0014102797200870596
4800,0.9882916666666667,0.0029999999999999805,0.9822333333333333,0.0009345230512584386
7200,0.9865,0.0014577379737113398,0.9824666666666667,0.0008326663997864476
9600,0.9848125,0.0003632415786283597,0.9839,0.0010143416036468545
12000,0.9847333333333333,0.0004262237284181508,0.9832333333333334,0.0009695359714832414
14400,0.9846944444444444,0.0003690369515440715,0.9836666666666668,0.0005962847939999217
16800,0.9848928571428571,0.00040089186286864785,0.9836333333333332,0.0006531972647421576
19200,0.9852395833333333,0.0007325812905215548,0.9838333333333333,0.000836660026534072
21600,0.9850555555555556,0.00046240707367346833,0.9839333333333334,0.0009104333522498619
24000,0.9851583333333334,0.0006040373424806744,0.984,0.0012952906151816824
