C_Value,Train_Accuracy,Val_Accuracy
0.01,0.5985666666666667,0.5941
0.1,0.6215333333333334,0.6113
1.0,0.7226333333333333,0.7138
10.0,0.7637333333333334,0.7498
100.0,0.7774666666666666,0.7561
