Train_Size,Train_Mean_Accuracy,Train_Std_Accuracy,Val_Mean_Accuracy,Val_Std_Accuracy
2400,0.6175833333333333,0.015166666666666684,0.6071333333333333,0.006989992846920502
7800,0.7215897435897436,0.002312814827441964,0.7117333333333333,0.008368326528577191
13200,0.7208333333333333,0.0008808752638635602,0.7105333333333334,0.006678655886063027
18600,0.7211397849462367,0.0005591397849462413,0.7115333333333334,0.006421664720131203
24000,0.7222583333333333,0.001046953251635954,0.7120000000000001,0.005885009204184254
